district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state,student_total
126902,544.0,508.0,1055.0,58044.17647058824,121272309.0,94.5,1.4250846390048029,7.794661837650578,48.57097866309739,26.903393433587908,51.7833241477049,4.83426501850248,0.5432643098968585,58.853633572159666,TX,12701.0
126903,522.0,490.0,1012.0,63447.875,73442343.0,90.9,0.3701594533029613,3.673120728929385,49.174259681093396,42.93849658314351,51.45216400911162,4.014806378132119,3.1036446469248293,46.52619589977221,TX,7024.0
126903,522.0,490.0,1012.0,63447.875,73442343.0,92.2,0.3701594533029613,3.673120728929385,49.174259681093396,42.93849658314351,51.45216400911162,4.014806378132119,3.1036446469248293,46.52619589977221,TX,7024.0
127901,558.0,525.0,1084.0,50574.0625,9489577.0,98.0,0.0,0.0,46.03399433427762,50.70821529745042,53.966005665722385,0.0,0.0,49.29178470254957,TX,706.0
127901,558.0,525.0,1084.0,50574.0625,9489577.0,100.0,0.0,0.0,46.03399433427762,50.70821529745042,53.966005665722385,0.0,0.0,49.29178470254957,TX,706.0
128904,552.0,511.0,1063.0,53724.92857142857,5278762.0,100.0,0.0,0.0,43.916913946587535,0.0,56.083086053412465,0.0,0.0,100.0,TX,337.0
128904,552.0,511.0,1063.0,53724.92857142857,5278762.0,100.0,0.0,0.0,43.916913946587535,0.0,56.083086053412465,0.0,0.0,100.0,TX,337.0
129901,525.0,501.0,1026.0,56532.933333333334,50167468.0,97.6,0.5530973451327433,22.640117994100294,47.82448377581121,38.34808259587021,52.17551622418879,3.023598820058997,0.0,35.435103244837755,TX,5424.0
129901,525.0,501.0,1026.0,56532.933333333334,50167468.0,98.2,0.5530973451327433,22.640117994100294,47.82448377581121,38.34808259587021,52.17551622418879,3.023598820058997,0.0,35.435103244837755,TX,5424.0
130901,551.0,540.0,1090.0,57568.875,93470318.0,98.5,1.8649830014570181,1.253035454103934,48.95580378824672,32.96745993200582,51.04419621175328,2.855755220981059,0.0,61.05876639145216,TX,10295.0
130901,551.0,540.0,1090.0,57568.875,93470318.0,99.0,1.8649830014570181,1.253035454103934,48.95580378824672,32.96745993200582,51.04419621175328,2.855755220981059,0.0,61.05876639145216,TX,10295.0
130902,514.0,501.0,1016.0,52365.066666666666,12564061.0,98.9,0.0,0.0,49.57102001906578,59.58055290753098,50.428979980934216,0.0,0.0,40.41944709246902,TX,1049.0
130902,514.0,501.0,1016.0,52365.066666666666,12564061.0,98.9,0.0,0.0,49.57102001906578,59.58055290753098,50.428979980934216,0.0,0.0,40.41944709246902,TX,1049.0
133901,468.0,441.0,909.0,54822.857142857145,7367717.0,94.7,0.0,0.0,47.88461538461539,60.96153846153847,52.11538461538462,0.0,0.0,39.03846153846154,TX,520.0
133901,468.0,441.0,909.0,54822.857142857145,7367717.0,94.7,0.0,0.0,47.88461538461539,60.96153846153847,52.11538461538462,0.0,0.0,39.03846153846154,TX,520.0
136901,515.0,528.0,1043.0,51034.666666666664,7515914.0,97.5,0.0,0.0,47.34848484848485,75.0,52.65151515151515,0.0,0.0,25.0,TX,528.0
136901,515.0,528.0,1043.0,51034.666666666664,7515914.0,97.5,0.0,0.0,47.34848484848485,75.0,52.65151515151515,0.0,0.0,25.0,TX,528.0
138904,433.0,445.0,878.0,52457.692307692305,2097764.0,-1.0,0.0,0.0,42.66666666666667,0.0,57.333333333333336,0.0,0.0,100.0,TX,75.0
138904,433.0,445.0,878.0,52457.692307692305,2097764.0,-1.0,0.0,0.0,42.66666666666667,0.0,57.333333333333336,0.0,0.0,100.0,TX,75.0
139905,630.0,615.0,1245.0,51908.13333333333,12255247.0,98.7,0.0,3.985828166519043,50.044286979628,9.477413640389726,49.95571302037201,3.8972542072630643,0.0,82.63950398582817,TX,1129.0
139905,630.0,615.0,1245.0,51908.13333333333,12255247.0,98.7,0.0,3.985828166519043,50.044286979628,9.477413640389726,49.95571302037201,3.8972542072630643,0.0,82.63950398582817,TX,1129.0
142901,443.0,445.0,888.0,49479.86666666667,20726759.0,87.1,0.0,0.0,48.87543252595156,95.76124567474048,51.12456747404844,0.0,0.0,4.2387543252595155,TX,1156.0
142901,443.0,445.0,888.0,49479.86666666667,20726759.0,87.1,0.0,0.0,48.87543252595156,95.76124567474048,51.12456747404844,0.0,0.0,4.2387543252595155,TX,1156.0
144903,415.0,379.0,795.0,50247.25,2345134.0,80.0,0.0,39.516129032258064,50.0,60.483870967741936,50.0,0.0,0.0,0.0,TX,124.0
144903,415.0,379.0,795.0,50247.25,2345134.0,80.0,0.0,39.516129032258064,50.0,60.483870967741936,50.0,0.0,0.0,0.0,TX,124.0
145901,463.0,431.0,894.0,50946.933333333334,10589820.0,94.7,0.0,1.8018018018018018,46.546546546546544,45.04504504504504,53.453453453453456,2.6026026026026026,0.0,50.550550550550554,TX,999.0
145901,463.0,431.0,894.0,50946.933333333334,10589820.0,94.7,0.0,1.8018018018018018,46.546546546546544,45.04504504504504,53.453453453453456,2.6026026026026026,0.0,50.550550550550554,TX,999.0
145902,495.0,480.0,975.0,49709.71428571428,8393292.0,96.8,0.0,8.309037900874635,50.72886297376093,12.82798833819242,49.27113702623907,0.0,0.0,78.86297376093295,TX,686.0
145902,495.0,480.0,975.0,49709.71428571428,8393292.0,96.8,0.0,8.309037900874635,50.72886297376093,12.82798833819242,49.27113702623907,0.0,0.0,78.86297376093295,TX,686.0
146901,425.0,422.0,848.0,60282.4375,101464192.0,92.5,0.0,3.3813747228381374,48.42017738359202,85.54138950480414,51.57982261640798,1.1456023651145602,0.0,9.931633407243163,TX,10824.0
146901,425.0,422.0,848.0,60282.4375,101464192.0,93.6,0.0,3.3813747228381374,48.42017738359202,85.54138950480414,51.57982261640798,1.1456023651145602,0.0,9.931633407243163,TX,10824.0
146902,477.0,452.0,930.0,58134.333333333336,55283923.0,92.9,0.0,6.620021528525297,47.255113024757804,46.80660208109078,52.960172228202374,2.547542160028705,0.2152852529601722,44.02583423035522,TX,5574.0
146902,477.0,452.0,930.0,58134.333333333336,55283923.0,93.2,0.0,6.620021528525297,47.255113024757804,46.80660208109078,52.960172228202374,2.547542160028705,0.2152852529601722,44.02583423035522,TX,5574.0
158901,515.0,503.0,1017.0,58194.3125,45265885.0,91.2,0.3150057273768614,14.919816723940436,48.1958762886598,65.83619702176404,51.80412371134021,2.6345933562428407,0.0,16.29438717067583,TX,3492.0
158901,515.0,503.0,1017.0,58194.3125,45265885.0,91.6,0.3150057273768614,14.919816723940436,48.1958762886598,65.83619702176404,51.80412371134021,2.6345933562428407,0.0,16.29438717067583,TX,3492.0
159901,500.0,491.0,991.0,61738.13333333333,154064058.0,93.8,0.0,0.0,49.27503226296212,99.06627191983603,52.06103393304487,0.0,1.336066196006984,0.9337280801639718,TX,13173.0
159901,500.0,491.0,991.0,61738.13333333333,154064058.0,94.0,0.0,0.0,49.27503226296212,99.06627191983603,52.06103393304487,0.0,1.336066196006984,0.9337280801639718,TX,13173.0
