district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state,student_total
540920040260000,458.3,448.5,906.8,48257.0,16372.97,71.1,0.0,2.2,51.03,1.6,48.97,5.5,0.0,90.1,IL,844.7
540920110260000,460.7,442.1,902.8,50268.0,15136.27,90.0,0.0,2.5,50.0,15.1,50.0,7.2,0.0,74.9,IL,1105.8
540920760260000,458.2,462.1,920.3,44147.0,11080.02,72.2,0.0,1.7,50.98,4.8,49.02,2.7,0.0,90.5,IL,869.25
540921180240000,432.5,410.3,842.8,61248.0,17493.23,67.5,0.6,45.5,48.82,9.7,51.18,11.6,0.4,32.1,IL,4689.39
540922250170000,472.2,460.8,933.0,64964.0,13648.85,83.3,0.0,0.0,49.63,0.0,50.37,0.0,0.0,91.9,IL,71.45
540925120260000,462.7,449.6,912.3,54235.0,13395.8,88.0,0.0,0.0,47.05,1.9,52.95,2.2,0.0,93.9,IL,859.0
56099200U260000,489.4,447.4,936.8,69328.0,15234.5,93.0,1.0,3.5,48.75,22.7,51.25,2.4,0.0,70.3,IL,1057.875
56099201U260000,442.2,414.7,856.9,65157.0,16994.41,90.6,0.7,61.0,48.45,17.0,51.55,5.4,0.0,15.7,IL,4378.75
560992020220000,496.8,488.6,985.4000000000001,60940.0,11993.28,93.8,7.3,12.5,48.59,25.1,51.41,4.4,0.4,50.4,IL,25152.5
560992040170000,454.5,437.5,892.0,82054.0,15769.42,80.1,0.8,18.8,49.94,56.1,50.06,2.7,0.2,21.4,IL,6838.3
560992050170000,498.6,492.6,991.2,85572.0,16102.43,92.8,1.8,4.9,48.5,20.5,51.5,2.6,0.0,70.0,IL,3788.35
56099207U260000,488.8,451.1,939.9000000000001,47421.0,14738.0,89.1,0.0,2.0,48.57,11.8,51.43,3.0,0.0,82.4,IL,1269.565
56099209U260000,466.7,451.0,917.7,52864.0,14592.3,95.8,0.0,0.8,48.07,11.7,51.93,3.1,0.0,83.7,IL,1257.0
560992100160000,540.3,545.1,1085.4,91416.0,13516.92,95.5,2.4,4.7,48.64,11.9,51.36,3.0,0.0,77.9,IL,6647.5
56099255U260000,490.7,461.7,952.4,60384.0,16347.77,91.0,0.0,0.0,48.08,10.6,51.92,3.2,0.0,85.3,IL,1354.07
56099365U260000,472.5,463.1,935.6,72536.0,17633.17,89.3,6.4,21.6,48.32,47.2,51.68,4.6,0.30000000000000004,19.9,IL,15144.42
601054280300000,373.9,363.6,737.5,86316.0,93041.72,60.6,0.0,68.6,0.0,0.0,100.0,0.0,0.0,20.0,IL,74.0
651089010800000,571.7,552.9,1124.6,59670.0,,98.7,7.2,4.0,51.96,7.9,48.04,6.8,0.0,74.1,IL,
