,district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state
225,2480000,517.0,524.0,1041.0,88991.0,17007.49,78.4,4.2,3.7,49.4,59.5,50.6,1.6,0.3,30.8,MA
226,4830000,557.0,538.0,1095.0,62620.0,18321.69,96.2,1.7,1.1,49.9,4.3,49.8,6.9,1.1,85.0,MA
227,2510000,523.0,518.0,1041.0,81156.0,18816.56,86.3,1.2,6.1,48.6,18.6,51.4,4.2,0.0,69.9,MA
228,2520000,580.0,570.0,1150.0,81595.0,24917.77,93.5,1.7,0.7,46.3,3.5,53.7,2.5,0.1,91.4,MA
229,4840000,452.0,450.0,902.0,70160.0,19636.1,87.0,0.7,56.3,46.7,40.6,53.3,1.2,0.30000000000000004,1.1,MA
230,2580000,494.0,468.0,962.0,94870.0,20930.81,75.9,2.3,6.7,48.5,43.9,51.4,4.1,0.0,43.0,MA
231,4850000,509.0,492.0,1001.0,69277.0,19262.34,96.9,5.9,11.3,50.7,47.9,49.1,1.8,0.0,33.1,MA
232,2610000,551.0,537.0,1088.0,79231.0,21246.59,94.8,2.4,1.3,49.7,4.2,50.2,1.6,0.8,89.8,MA
233,2620000,539.0,513.0,1052.0,95830.0,18320.35,87.2,6.0,5.0,47.5,25.8,52.5,3.0,1.1,59.0,MA
234,2640000,589.0,568.0,1157.0,91325.0,17609.03,97.3,0.7,2.2,49.3,2.3,50.5,2.8,0.0,91.9,MA
235,2650000,567.0,545.0,1112.0,85671.0,17750.37,94.1,3.5,2.7,49.4,6.4,50.4,4.0,0.0,83.4,MA
236,2660000,643.0,661.0,1304.0,100647.0,18963.94,93.2,29.6,5.5,48.6,6.1,51.3,7.0,0.2,51.8,MA
